long;lat;id;linea;estacion;numero_de_;destino_bo;lineas_de_;cierra_fin;escalera_p;escalera_m;ascensor;rampa;salvaescal;calle;altura;calle2;barrio;comuna;observacio;Objeto;dom_norma;dom_orig
-5.838.406.785;-3.460.210.562;1;D;TRIBUNALES - TEATRO COLON;4;a Catedral y Congreso de Tucumán;;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Libertad;556;;San Nicolas;Comuna 1;Andén central;Boca de subte;LIBERTAD 556;Libertad 556
-5.838.437.231;-3.460.239.446;2;D;TRIBUNALES - TEATRO COLON;5;a Catedral y Congreso de Tucumán;;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Lavalle;1221;;San Nicolas;Comuna 1;Andén central;Boca de subte;LAVALLE 1221;Lavalle 1221
-5.839.724.994;-3.458.780.388;3;H;LAS HERAS;1;a Hospitales;;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Pueyrredon;2199;;;;Vestíbulo intermedio;Boca de subte;;Pueyrredon 2199
-5.840.396.661;-3.459.873.264;4;H;CORDOBA;1;a Las Heras y Hopitales;;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Pueyrredon;984;;;;Vestíbulo intermedio;Boca de subte;;Pueyrredon 984
-5.840.540.576;-3.460.388.392;5;H;CORRIENTES;6;a Las Heras y Hospitales;B;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Pueyrredón;558;;;;Vestíbulo intermedio;Boca de subte;;Pueyrredón 558
-5.840.523.719;-3.460.416.969;6;H;CORRIENTES;3;a Las Heras y Hospitales;B;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Pueyrredón;539;;;;Vestíbulo intermedio;Boca de subte;;Pueyrredón 539
-5.840.508.655;-346.035.504;7;H;CORRIENTES;1;Salida únicamente;B;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Pueyrredón;589;;;;Salida únicamente;Boca de subte;;Pueyrredón 589
-5.840.531.211;-3.460.350.124;8;H;CORRIENTES;2;a Las Heras y Hospitales;B;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Pueyrredón;590;;;;Vestíbulo intermedio;Boca de subte;;Pueyrredón 590
-5.840.535.202;-3.460.367.827;9;H;CORRIENTES;4;Salida únicamente;B;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Pueyrredón;574;;;;Salida únicamente;Boca de subte;;Pueyrredón 574
-5.839.738.601;-3.462.307.466;10;E;PICHINCHA;1;a Retiro y Plaza de los Virreyes;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;San Juan;2277;;;;Vestíbulo intermedio;Boca de subte;;San Juan 2277
