FECHA,DESDE,HASTA,LINEA,MOLINETE,ESTACION,pax_pagos,pax_pases_pagos,pax_franq,pax_TOTAL,LINEA_L
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_Boedo_Turn02,BOEDO,1,0,0,1,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_Varela_Turn01,VARELA,4,0,0,4,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_RetiroE_N_Turn03,RETIRO,0,0,2,2,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_Virreyes_E_Turn02,PLAZA DE LOS VIRREYES - EVA PERON,5,0,0,5,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_SanJose_Turn02,SAN JOSE,2,0,0,2,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_Bolivar_N_Turn02,BOLIVAR,0,0,1,1,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_Moreno_Turn02,JOSE MARIA MORENO,2,0,1,3,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_RetiroE_S_Turn02,RETIRO,1,0,0,1,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_Pichin_Turn02,PICHINCHA,0,0,1,1,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_EMitre_Turn02,EMILIO MITRE,2,0,0,2,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_CCentral_S_Turn01,CORREO CENTRAL,1,0,0,1,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_Indepen_Turn01,INDEPENDENCIA,1,0,1,2,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_Bolivar_S_Turn01,BOLIVAR,1,0,0,1,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_Boedo_Turn01,BOEDO,2,0,1,3,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_ERios_Turn01,ENTRE RIOS - RODOLFO WALSH,2,0,0,2,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_LaPlata_Turn02,AV. LA PLATA,0,0,2,2,E
1/2/2024,05:15:00,05:30:00,LineaE,LineaE_RetiroE_S_Turn05,RETIRO,1,0,0,1,E
