long,lat,id,linea,estacion,numero_de_,destino_bo,lineas_de_,cierra_fin,escalera_p,escalera_m,ascensor,rampa,salvaescal,calle,altura,calle2,barrio,comuna,observacio,Objeto,dom_norma,dom_orig
-58.38406785,-34.60210562,1,D,TRIBUNALES - TEATRO COLÓN,4,a Catedral y Congreso de Tucumán,,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Libertad,556,,San Nicolas,Comuna 1,Andén central,Boca de subte,LIBERTAD 556,Libertad 556
-58.38437231,-34.60239446,2,D,TRIBUNALES - TEATRO COLÓN,5,a Catedral y Congreso de Tucumán,,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Lavalle,1221,,San Nicolas,Comuna 1,Andén central,Boca de subte,LAVALLE 1221,Lavalle 1221
-58.39724994,-34.58780388,3,H,LAS HERAS,1,a Hospitales,,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,Pueyrredon,2199,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredon 2199
-58.40396661,-34.59873264,4,H,CÓRDOBA,1,a Las Heras y Hopitales,,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,Pueyrredon,984,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredon 984
-58.40540576,-34.60388392,5,H,CORRIENTES,6,a Las Heras y Hospitales,B,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Pueyrredón,558,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 558
-58.40523719,-34.60416969,6,H,CORRIENTES,3,a Las Heras y Hospitales,B,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Pueyrredón,539,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 539
-58.40508655,-34.6035504,7,H,CORRIENTES,1,Salida únicamente,B,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Pueyrredón,589,,,,Salida únicamente,Boca de subte,,Pueyrredón 589
-58.40531211,-34.60350124,8,H,CORRIENTES,2,a Las Heras y Hospitales,B,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Pueyrredón,590,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 590
-58.40535202,-34.60367827,9,H,CORRIENTES,4,Salida únicamente,B,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Pueyrredón,574,,,,Salida únicamente,Boca de subte,,Pueyrredón 574
-58.39738601,-34.62307466,10,E,PICHINCHA,1,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,2277,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2277
-58.39703492,-34.62302769,11,E,PICHINCHA,3,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,2245,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2245
-58.39733835,-34.62327584,12,E,PICHINCHA,4,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,2266,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2266
-58.39699053,-34.62323152,13,E,PICHINCHA,2,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,2254,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2254
-58.39174549,-34.62265161,14,E,ENTRE RIOS - RODOLFO WALSH,1,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,1809,,,,Vestíbulo intermedio,Boca de subte,,San Juan 1809
-58.45518308,-34.58679828,15,B,FEDERICO LACROZE,6,a L. N. Alem,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Federico Lacroze,680,,,,Andén a Leandro N. Alem,Boca de subte,,Federico Lacroze 680
-58.40563778,-34.6047428,16,B,PUEYRREDON,2,a L. N. Alem y J. M. de Rosas,H,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Pueyrredón,496,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 496
-58.40551977,-34.60436825,17,B,PUEYRREDON,1,a L. N. Alem y J. M. de Rosas,H,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Pueyrredón,510,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 510
-58.39828234,-34.60954329,18,A,PASCO,3,a Plaza de Mayo,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Rivadavia,2243,,,,Solo anden a Plaza de Mayo,Boca de subte,,Rivadavia 2243
-58.39866919,-34.60957007,19,A,PASCO,1,a Plaza de Mayo,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Rivadavia,2283,,,,Solo anden a Plaza de Mayo,Boca de subte,,Rivadavia 2283
-58.39268037,-34.60913774,20,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,1,a Plaza de Mayo,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Rivadavia,1837,,,,Solo anden a Plaza de Mayo,Boca de subte,,Rivadavia 1837
-58.39301045,-34.60934962,21,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,2,Salida unicamente,,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,Rivadavia,1864,,,,Salida unicamente,Boca de subte,,Rivadavia 1864
-58.39266263,-34.6093309,22,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,4,a San Pedrito,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Rivadavia,1820,,,,Solo anden a San Pedrito,Boca de subte,,Rivadavia 1820
